file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00666_0526_4638355_to_4640595,སཱ། རྩ་བའི་ས་བཅད་གསུམ་ཡོད་ཟེ་བྱས།  ,sA/_rtsa ba'i sa bcad gsum yod ze byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00666_0526_4638355_to_4640595.wav,STT_TT,3,35,2.24,wav16k/STT_TT00666_0526_4638355_to_4640595.wav,ས། རྩ་བའི་ས་བཅད་གསུམ་ཡོད་ཟེ་བྱས་ནས།
STT_NS_M0311_0742_5682431_to_5684923,སོ་སོ་རང་བསམ་བློ་བཏང་བསྡད་མྱི་རྐྱང་རྐྱང་རེད་ཤག་ཡོད་བ།  ,so so rang bsam blo btang bsdad myi rkyang rkyang red shag yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0311_0742_5682431_to_5684923.wav,STT_NS,3,55,2.492,wav16k/STT_NS_M0311_0742_5682431_to_5684923.wav,སོ་སོ་རང་བསམ་བློ་བཏང་བསྡད་མྱི་རྐྱང་རྐྱང་རེད་ཤག་ཡོད་བ།
STT_TT00688_0239_1621339_to_1625435,ད་ངས་སྐྱེ་བ་ཐོག་མ་མེད་པ་ནས་ད་ལྟ་བར་དུ། སོ་ནམས་ཅིག་ནི་ཏན་ཏན་བསགས་ཡོད་རེད།  ,da ngas skye ba thog ma med pa nas da lta bar du/_so nams cig ni tan tan bsags yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00688_0239_1621339_to_1625435.wav,STT_TT,3,74,4.096,wav16k/STT_TT00688_0239_1621339_to_1625435.wav,ད་ངས་སྐྱེ་བ་ཐོག་མ་མེད་པ་ནས། ད་ལྟ་བར་དུ་བསོད་ནམས་གཅིག་ནི། ཏན་ཏན་བསགས་ཡོད་རེད།
STT_TT00658_0169_1560418_to_1566373,ད་གཞི་ནས། རང་གི་ཕ་མ་ལ་སྙིང་རྗེ་ཅིག་སྐྱེས་ན། ཕ་མའི་སྡུག་བསྔལ་སེལ་ཡ་ལ།  ,da gzhi nas/_rang gi pha ma la snying rje cig skyes na/_pha ma'i sdug bsngal sel ya la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00658_0169_1560418_to_1566373.wav,STT_TT,3,70,5.955,wav16k/STT_TT00658_0169_1560418_to_1566373.wav,ད་གཞི་ནས་ རང་གི་ཕ་མ་ལ་སྙིང་རྗེ་ཅིག་སྐྱེས་ན། ཕ་མའི་སྡུག་བསྔལ་སེལ་ཡ་ལ།
STT_TT00647_0103_1172687_to_1178813,སྔ་འགྱུར་རྙིང་མའི། སྤྱིར་བཏང་ཆོས་ལུགས་རིས་མེད་ཀི་བླ་མ་རེད། དམིགས་བསལ་གིས་སྔ་འགྱུར་རྙིང་མའི། བླ་ཆེན།  ,snga 'gyur rnying ma'i/_spyir btang chos lugs ris med ki bla ma red/_dmigs bsal gis snga 'gyur rnying ma'i/_bla chen/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00647_0103_1172687_to_1178813.wav,STT_TT,3,101,6.126,wav16k/STT_TT00647_0103_1172687_to_1178813.wav,སྔ་འགྱུར་རྙིང་མའི། སྤྱིར་བཏང་ཆོས་ལུགས་རིས་མེད་ཀི་བླ་མ་རེད། དམིགས་བསལ་གི་སྔ་འགྱུར་རྙིང་མའི་གི་བླ་ཆེན།
STT_NS_M0333_0035_236476_to_240435,བླུག་ས་ཆུང་ཆུང་ཅིག་མ་གཞི་ཡོད་མ་རེད་ཡོད་བ། ད་ཨོ་དེ་ལ་གཅིག་ལ་ཨེ་ནས་སྒོར་མོ་དྲུག་བརྒྱ་འདྲ་བོ་དང་ཨེ་འདྲའི་འདྲ་བོ་རེད་ད་ཡོད་བ།  ,blug sa chung chung cig ma gzhi yod ma red yod ba/_da o de la gcig la e nas sgor mo drug brgya 'dra bo dang e 'dra'i 'dra bo red da yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0333_0035_236476_to_240435.wav,STT_NS,3,123,3.959,wav16k/STT_NS_M0333_0035_236476_to_240435.wav,བླུག་ས་ཆུང་ཆུང་ཅིག་མ་ཤས་ཡོད་མ་རེད་ཡོད་བ། ད་ཨོ་དེ་ལ་གཅིག་ལ་ཨེ་ནས་སྒོར་མོ་དྲུག་བརྒྱ་འདྲ་ོ་དང་ཨེ་འདྲའི་འདྲ་བོ་རེད་ད་ཡོད་བ།
STT_NS_M0243_0229_1368438_to_1370657,བཀའ་དྲིན་ཆེན་པོའི་ལས་ཀ་ད་ང༧གོང་ས་མཆོག་གི་ད།  ,bka' drin chen po'i las ka da nga7gong sa mchog gi da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0243_0229_1368438_to_1370657.wav,STT_NS,3,45,2.219,wav16k/STT_NS_M0243_0229_1368438_to_1370657.wav,བཀའ་དྲིན་ཆེན་པོ་ལས་ཀ་ད་ང་གོང་ས་མཆོག་གི་ད།
STT_TT00650_0028_403523_to_411117,ཁྱེད་ཚོས་འདིའི་དཔེ། དཔེ་མཚོན་འདི་བྲིས་ཨ། རྗེ་བཙུན་དམ་པ། ཡང་ན། རྗེ་བཙུན་བླ་མ་བསྟན་འཛིན་རྒྱ་མཚོ་ཞལ་སྔ་ནས་ཟེ།  ,khyed tshos 'di'i dpe/_dpe mtshon 'di bris a/_rje btsun dam pa/_yang na/_rje btsun bla ma bstan 'dzin rgya mtsho zhal snga nas ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00650_0028_403523_to_411117.wav,STT_TT,3,108,7.594,wav16k/STT_TT00650_0028_403523_to_411117.wav,ཁྱེད་ཚོས་འདི་དཔེ། དཔེ་མཚོན་དེ་བྲིས་ཨ། རྗེ་བཙུན་དམ་པ། ཡང་ན་རྗེ་བཙུན་བླ་མ། བསྟན་འཛིན་རྒྱ་མཚོ། ཞལ་སྔ་ནས་ཟེ།
STT_NS_M0328_0078_436783_to_446595,ད་ང་ཚོ་བྷི་ཨེ་བུ་གུ་ཚང་མ་ཨེ་ནས་འཛོམས་ཨེ་ནས་ཅོག་ཙེ་དེ་ཚོ་དབོར་འདྲ་བོ་བྱས་རཱ། ཨའུ་ཙི་ཐང་ཆད་སོང་ཡོད་བ། ག་ལབ་ན་ཅོག་ཙེ་ཨེ་འདྲའི་བཞི་བཅུ་སེ་འདྲ་བོ་དབོར་དགོས་འདུག་རཱ། ཨེ་ནས་བུ་གུ་ཉུང་ཉུང་མ་གཞི་མི་འདུག་རཱ།  ,da nga tsho b+hi e bu gu tshang ma e nas 'dzoms e nas cog tse de tsho dbor 'dra bo byas rA/_a'u tsi thang chad song yod ba/_ga lab na cog tse e 'dra'i bzhi bcu se 'dra bo dbor dgos 'dug rA/_e nas bu gu nyung nyung ma gzhi mi 'dug rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0328_0078_436783_to_446595.wav,STT_NS,3,199,9.812,wav16k/STT_NS_M0328_0078_436783_to_446595.wav,ད་ང་ཚོ་བྷི་ཨེ་བུ་གུ་ཚང་མ་ཨེ་ནས་འཛོམས་ཨེ་ནས་ཅོག་ཙེ་དེ་ཚོ་དབོར་འདྲ་བོ་བྱས་རཱ། ཨའུ་ཙི་ཐང་ཆད་སོང་ཡོད་བ། ག་རེ་ལབ་ན་ཅོག་ཙེ་ཨེ་འདྲའི་བཞི་བཅུ་སི་འདྲ་བོ་དབོར་དགོས་འདུག་རཱ། ཨེ་ནས་བུ་གུ་ཉུང་ཉུང་མ་ཤས་མི་འདུག་རཱ།
STT_NS_M0241_0024_146297_to_148770,ཡོན་ཏན་ཡོད་རྒྱོ། ཡོན་ཏན་ལྡན་པ་ཅིག་ཡོད་རཱ། ཨོ་དེ་ལ་སྐྱེས་སྟོབས།  ,yon tan yod rgyo/_yon tan ldan pa cig yod rA/_o de la skyes stobs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0241_0024_146297_to_148770.wav,STT_NS,3,64,2.473,wav16k/STT_NS_M0241_0024_146297_to_148770.wav,ཡོན་ཏན་ཡོད་རྒྱོ་ཡོན་ཏན་ལྡན་པ་ཅིག་ཡོད་རཱ། ཨོ་དེ་ལ་སྐྱེས་ཐུབ།
